Strain Type,THCa,Total THC,CBDa,Total CBD,Total CBG,Expires,product_name,Total CBC,Total CBN,filename,filedate,dt_cols
Hybrid,24.16%,22.39%,0.06%,0.06%,0.91%,1/30/2024,hilight-gelato-41-x-dosidos-3-5-gr-flower,,,,,1
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-flower,0.02%,0.02%,,,1
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-7-gr-flower,0.02%,0.02%,,,1
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-popcorn-flower-flower,0.02%,0.02%,,,1
Hybrid,23.42%,20.81%,0.07%,0.06%,1.05%,3/13/2024,wholesomeco-chimera-3-s1-7-gr-flower,,,,,1
Hybrid,26.97%,24.07%,0.08%,0.07%,1.76%,3/13/2024,wholesomeco-popscotti-3-5-gr-flower,,,,,1
Hybrid,23.42%,20.81%,0.07%,0.06%,1.05%,3/13/2024,wholesomeco-chimera-3-s1-3-5-gr-flower,,,,,1
Hybrid,13.82%,13.27%,0.04%,0.03%,0.79%,9/19/2023,hilight-critical-neville-haze-3-5-gr-flower,0.02%,,,,1
Hybrid,16.25%,14.83%,0.08%,0.07%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-flower,16.25%,,,,1
Hybrid,24.75%,24.44%,0.09%,0.08%,1.11%,10/26/2023,tryke-triangle-kush-3-5-gr-flower,,,,,1
Sativa,22.87%,21.32%,0.06%,0.05%,1.28%,10/17/2023,tryke-the-potion-3-5-gr-flower,,,,,1
Indica,19.98%,17.52%,0.09%,0.08%,0.69%,7/25/2023,tryke-v-kush-3-5-gr-flower,,,,,1
Hybrid,23.15%,21.61%,0.06%,0.05%,0.79%,10/5/2023,tryke-secret-sauce-3-5-gr-popcorn-flower,0.01%,,,,1
Indica Dominant Hybrid,23.91%,20.96%,0.05%,0.04%,0.6%,10/17/2023,tryke-tart-pop-3-5-gr-flower,,,,,1
Indica,26.17%,26%,0.08%,0.07%,1.04%,10/5/2023,tryke-slap-n-tickle-3-5-gr-flower,0.03%,,,,1
Sativa,23.89%,23.55%,0.08%,0.07%,1.27%,7/20/2023,tryke-strawberry-cookies-3-5-gr-flower,,,,,1
Indica Dominant Hybrid,18.67%,16.37%,0.04%,0.04%,0.39%,10/5/2023,tryke-terple-3-5-gr-flower,,,,,1
Sativa,20.09%,17.61%,0.1%,0.08%,0.58%,7/25/2023,tryke-white-chocolate-3-5-gr-flower,,,,,1
Indica,24.71%,21.93%,0.08%,0.07%,0.53%,3/2/2024,black-sheep-point-break-3-5-gr-flower,,,,,1
Hybrid,12.34%,12.37%,0.06%,0.06%,0.26%,9/19/2024,hilight-chunkadelic-3-5-gr-flower,0.03%,0.02%,,,1
Indica,23.89%,21.54%,0.08%,0.07%,1.24%,12/5/2023,dragonfly-banana-dulce-1-3-5-gr-flower,,,,,1
Indica,24.25%,21.41%,0.07%,0.06%,1.77%,1/9/2024,dragonfly-grape-animals-3-5-gr-flower,,,,,1
Indica,23.13%,20.75%,0.07%,0.06%,1.76%,12/9/2023,dragonfly-rocket-fuel-3-5g-flower,,,,,1
Sativa,28.66%,25.52%,0.09%,0.08%,0.88%,1/19/2024,dragonfly-malawi-sunrise-3-5-gr-flower,,,,,1
Hybrid,25.41%,22.62%,0.08%,0.07%,2.31%,2/1/2024,dragonfly-mac-3-5-gr-flower,,,,,1
Sativa,24.35%,21.55%,0.06%,0.05%,1.18%,12/20/2023,zion-mad-max-3-5-gr-popcorn-flower-flower,,,,,1
Hybrid,28.6%,25.61%,0.07%,0.06%,0.92%,11/7/2023,zion-candy-margy-3-5-gr-flower,,,,,1
Hybrid,23.26%,20.59%,0.06%,0.05%,0.91%,12/20/2023,zion-tally-man-3-3-5-gr-greenhouse,,,,,1
Hybrid,21.18%,20.12%,0.07%,0.06%,0.43%,10/26/2023,pure-plan-big-easy-og-x-orange-3-5-gr-flower,,,,,1
Indica,23.06%,20.93%,0.05%,0.05%,0.71%,2/9/2024,pure-plan-banana-dulce-8-3-5-gr-flower,,,,,1
Hybrid,16.25%,14.83%,0.08%,0.07%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-popcorn-flower,16.25%,,,,1
Hybrid,21.09%,19.4%,0.08%,0.07%,0.56%,12/20/2023,zion-tally-man-3-3-5-gr-popcorn-flower,0.02%,,,,1
Indica,22.75%,20.33%,0.05%,0.05%,1.08%,7/4/2023,tryke-refined-taste-3-5-gr-flower,,,,,1
Hybrid,23.15%,21.61%,0.06%,0.05%,0.79%,10/5/2023,tryke-secret-sauce-3-5-gr-flower,0.01%,,,,1
Hybrid,24.16%,22.39%,0.06%,0.06%,0.91%,1/30/2024,hilight-gelato-41-x-dosidos-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-flower,0.02%,0.02%,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-7-gr-flower,0.02%,0.02%,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Sativa,18.4%,17.69%,0.06%,0.05%,1%,10/12/2023,hilight-passionfruit-hashplant-3-5-gr-popcorn-flower-flower,0.02%,0.02%,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Hybrid,26.97%,24.07%,0.08%,0.07%,1.76%,3/13/2024,wholesomeco-popscotti-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Hybrid,23.42%,20.81%,0.07%,0.06%,1.05%,3/13/2024,wholesomeco-chimera-3-s1-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Hybrid,13.82%,13.27%,0.04%,0.03%,0.79%,9/19/2023,hilight-critical-neville-haze-3-5-gr-flower,0.02%,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Hybrid,16.25%,14.83%,0.08%,0.07%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-flower,16.25%,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Hybrid,24.75%,24.44%,0.09%,0.08%,1.11%,10/26/2023,tryke-triangle-kush-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Sativa,22.87%,21.32%,0.06%,0.05%,1.28%,10/17/2023,tryke-the-potion-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
Indica,19.98%,17.52%,0.09%,0.08%,0.69%,7/25/2023,tryke-v-kush-3-5-gr-flower,,,product_data_04_23_2023_1256.txt,04_23_2023_1256,4
