Strain Type,THCa,Total THC,CBDa,Total CBD,Total CBG,Expires,product_name,Total CBC,Total CBN
Indica,21.36%,28.29%,0.05%,0.05%,0.42%,7/11/2023,curaleaf-who-dat-orange-kush-3-14-gr-flower,,
Hybrid,21.23%,19.02%,0.06%,0.05%,0.69%,7/11/2023,curaleaf-sundae-driver-14-gr-flower,,
Hybrid,30.05%,28.88%,0.08%,0.07%,0.86%,7/11/2023,curaleaf-pie-hoe-14-gr-flower,,
Indica,23.62%,21.75%,0.07%,0.06%,0.54%,7/18/2023,curaleaf-chem-cookies-14-gr-flower,,
Hybrid,18.87%,17.09%,0.05%,0.05%,0.47%,7/25/2023,tryke-strawberry-icy-3-5-gr-popcorn-flower,,
Hybrid,18.87%,17.09%,0.05%,0.05%,0.47%,7/25/2023,tryke-strawberry-icy-3-5-gr-flower,,
Hybrid,19.98%,17.52%,0.08%,0.07%,0.86%,6/29/2023,tryke-v-kush-3-5-gr-flower,,
Sativa,20.09%,17.61%,0.1%,0.08%,0.58%,7/25/2023,tryke-white-chocolate-3-5-gr,,
Sativa,23.41%,21.19%,0.1%,0.08%,0.58%,7/25/2023,tryke-white-chocolate-3-5-gr-popcorn-flower,,
Indica Dominant Hybrid,22.75%,20.33%,0.05%,0.05%,1.08%,7/4/2023,tryke-refined-taste-3-5-gr-flower,,
Hybrid,23.15%,21.61%,0.06%,0.05%,0.79%,10/5/2023,tryke-secret-sauce-3-5-gr,0.01%,
Hybrid,24.04%,21.76%,0.09%,0.08%,0.69%,7/25/2023,tryke-v-kush-3-5-gr-popcorn-flower,,
Hybrid,13.82%,13.27%,0.04%,0.03%,0.79%,9/19/2023,hilight-critical-neville-haze-7-gr-popcorn-flower,0.02%,
Hybrid,13.82%,13.27%,0.04%,0.03%,0.79%,9/19/2023,hilight-critical-neville-haze-3-5-gr-flower,0.02%,
Hybrid,16.25%,14.83%,0.08%,0.07%,0.38%,9/21/2023,wholesomeco-cannabis-mint-jelly-3-5-gr-flower,16.25%,
Sativa,23.4%,20.73%,0.05%,0.05%,0.61%,1/19/2023,black-sheep-star-fire-sunshine-7-gr-flower,,
Sativa,23.4%,20.73%,0.05%,0.05%,0.61%,1/19/2024,black-sheep-star-fire-sunshine-3-5-gr-flower,,
Sativa,29.59%,26.34%,0.09%,0.08%,0.98%,1/9/2024,dragonfly-malawi-sunrise-3-5-gr-flower,,
Sativa,26.77%,24.1%,0.07%,0.06%,1.84%,12/28/2023,dragonfly-sherb-crasher-3-5-gr-flower,,
Hybrid,29.53%,27.2%,0.08%,0.07%,3.47%,10/17/2023,dragonfly-maple-canyon-kush-3-5-gr-flower,0.03%,
