Strain Type,THCa,Total THC,CBDa,Total CBD,Total CBC,Total CBG,Expires,product_name
Hybrid,13.82%,13.27%,0.04%,0.03%,0.02%,0.79%,9/19/2023,hilight-critical-neville-haze-3-5-gr-flower
Hybrid,16.25%,14.83%,0.08%,0.07%,16.25%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-flower
Hybrid,24.75%,24.44%,0.09%,0.08%,,1.11%,10/26/2023,tryke-triangle-kush-3-5-gr-flower
Sativa,22.87%,21.32%,0.06%,0.05%,,1.28%,10/17/2023,tryke-the-potion-3-5-gr-flower
Sativa,21.77%,19.7%,0.05%,0.05%,,0.59%,10/17/2023,tryke-strawberry-icy-3-5-gr-popcorn-flower
Indica,19.98%,17.52%,0.09%,0.08%,,0.69%,7/25/2023,tryke-v-kush-3-5-gr-flower
Indica Dominant Hybrid,23.91%,20.96%,0.05%,0.04%,,0.6%,10/17/2023,tryke-tart-pop-3-5-gr-flower
Indica,26.17%,26%,0.08%,0.07%,0.03%,1.04%,10/5/2023,tryke-slap-n-tickle-3-5-gr-flower
Sativa,23.89%,23.55%,0.08%,0.07%,,1.27%,7/20/2023,tryke-strawberry-cookies-3-5-gr-flower
Sativa,21.77%,19.7%,0.05%,0.05%,,0.59%,10/17/2023,tryke-strawberry-icy-3-5-gr-flower
Indica,23.89%,21.54%,0.08%,0.07%,,1.24%,12/5/2023,dragonfly-banana-dulce-1-3-5-gr-flower
Indica,23.13%,20.75%,0.07%,0.06%,,1.76%,12/5/2023,dragonfly-rocket-fuel-3-5g-flower
Sativa,28.66%,25.52%,0.09%,0.08%,,0.88%,1/19/2024,dragonfly-malawi-sunrise-3-5-gr-flower
Hybrid,25.41%,22.62%,0.08%,0.07%,,2.31%,2/1/2024,dragonfly-mac-3-5-gr-flower
Indica,20.27%,18.49%,0.05%,0.05%,,0.65%,3/21/2024,high-variety-gello-14-gr-flower
Indica,20.27%,18.49%,0.05%,0.05%,,0.65%,2/14/2024,high-variety-gello-5-gr-flower
Hybrid,23.26%,20.59%,0.06%,0.05%,,0.91%,12/20/2023,zion-tally-man-3-3-5-gr-greenhouse-popcorn
Sativa,24.35%,21.55%,0.06%,0.05%,,1.18%,12/20/2023,zion-mad-max-3-5-gr-greenhouse-popcorn
Hybrid,28.6%,25.61%,0.07%,0.06%,,0.92%,11/7/2023,zion-candy-margy-3-5-gr-flower
Hybrid,23.26%,20.59%,0.06%,0.05%,,0.91%,12/20/2023,zion-tally-man-3-3-5-gr-greenhouse-flower
Indica,29.34%,25.97%,0.08%,0.07%,,2.17%,2/8/2024,zion-wedding-cake-3-5-gr-flower
Indica,23.06%,20.93%,0.05%,0.05%,,0.71%,1/18/2024,pure-plan-banana-dulce-8-7-gr-flower
Hybrid,21.18%,20.12%,0.07%,0.06%,,0.43%,10/26/2023,pure-plan-big-easy-og-x-orange-3-5-gr-flower
Indica,23.06%,20.93%,0.05%,0.05%,,0.71%,2/9/2024,pure-plan-banana-dulce-8-3-5-gr-flower
Indica,16.95%,15.3%,0.04%,0.04%,,0.56%,2/16/2024,high-variety-gobbilygoo-5-gr-flower
Sativa Dominant Hybrid,17.99%,16.51%,0.05%,0.04%,,0.29%,3/9/2024,high-variety-han-solo-burger-5-gr-flower
Indica,20.5%,18.8%,0.05%,0.04%,,0.94%,1/30/2024,hilight-sleeping-with-the-stars-3-5-gr-flower
Hybrid,16.25%,14.83%,0.08%,0.07%,16.25%,0.38%,9/21/2023,wholesomeco-mint-jelly-3-5-gr-popcorn-flower
Indica,22.75%,20.33%,0.05%,0.05%,,1.08%,7/4/2023,tryke-refined-taste-3-5-gr-flower
Hybrid,23.15%,21.61%,0.06%,0.05%,0.01%,0.79%,10/5/2023,tryke-secret-sauce-3-5-gr-flower
Sativa,18.17%,16.33%,0.04%,0.04%,,0.3%,9/20/2023,hilight-sour-apple-3-5-gr-popcorn-flower
