0,1
https://www.wholesome.co/shop/flower/hilight-gelato-41-x-dosidos-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '24.16%', 'Total THC': '22.39%', 'CBDa': '0.06%', 'Total CBD': '0.06%', 'Total CBG': '0.91%', 'Expires': '1/30/2024'}"
https://www.wholesome.co/shop/flower/hilight-passionfruit-hashplant-3-5-gr-flower,"{'Strain Type': 'Sativa', 'THCa': '18.4%', 'Total THC': '17.69%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBC': '0.02%', 'Total CBG': '1%', 'Total CBN': '0.02%', 'Expires': '10/12/2023'}"
https://www.wholesome.co/shop/flower/hilight-passionfruit-hashplant-7-gr-flower,"{'Strain Type': 'Sativa', 'THCa': '18.4%', 'Total THC': '17.69%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBC': '0.02%', 'Total CBG': '1%', 'Total CBN': '0.02%', 'Expires': '10/12/2023'}"
https://www.wholesome.co/shop/flower/hilight-passionfruit-hashplant-3-5-gr-popcorn-flower-flower,"{'Strain Type': 'Sativa', 'THCa': '18.4%', 'Total THC': '17.69%', 'CBDa': '0.06%', 'Total CBD': '0.05%', 'Total CBC': '0.02%', 'Total CBG': '1%', 'Total CBN': '0.02%', 'Expires': '10/12/2023'}"
https://www.wholesome.co/shop/flower/hilight-gello-banana-14-gr-greenhouse-popcorn-flower,"{'Strain Type': 'Hybrid', 'THCa': '25.68%', 'Total THC': '23.22%', 'CBDa': '0.14%', 'Total CBD': '0.12%', 'Total CBG': '0.95%', 'Expires': '1/30/2024'}"
https://www.wholesome.co/shop/flower/wholesomeco-popscotti-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '26.97%', 'Total THC': '24.07%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBG': '1.76%', 'Expires': '3/13/2024'}"
https://www.wholesome.co/shop/flower/wholesomeco-chimera-3-s1-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '23.42%', 'Total THC': '20.81%', 'CBDa': '0.07%', 'Total CBD': '0.06%', 'Total CBG': '1.05%', 'Expires': '3/13/2024'}"
https://www.wholesome.co/shop/flower/hilight-critical-neville-haze-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '13.82%', 'Total THC': '13.27%', 'CBDa': '0.04%', 'Total CBD': '0.03%', 'Total CBC': '0.02%', 'Total CBG': '0.79%', 'Expires': '9/19/2023'}"
https://www.wholesome.co/shop/flower/wholesomeco-mint-jelly-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '16.25%', 'Total THC': '14.83%', 'CBDa': '0.08%', 'Total CBD': '0.07%', 'Total CBC': '16.25%', 'Total CBG': '0.38%', 'Expires': '9/21/2023'}"
https://www.wholesome.co/shop/flower/tryke-triangle-kush-3-5-gr-flower,"{'Strain Type': 'Hybrid', 'THCa': '24.75%', 'Total THC': '24.44%', 'CBDa': '0.09%', 'Total CBD': '0.08%', 'Total CBG': '1.11%', 'Expires': '10/26/2023'}"
